datetime,dataset,trials,auc,aucprc
2026-05-30 09:52,Disney,10,96.13±3.15(98.73),72.00±14.73(88.56)
2026-05-30 09:50,book,10,50.00±0.00(50.00),50.99±0.00(50.99)
2026-05-23 15:17,Facebook,10,99.89±0.13(99.99),95.61±5.82(99.68)
2026-05-25 11:14,cora,10,84.44±1.78(88.11),62.06±1.89(64.38)
2026-05-25 12:54,citeseer,10,83.19±1.51(86.10),60.19±4.03(66.84)
2026-05-30 09:51,twitter,10,54.66±1.08(56.36),15.57±0.63(17.02)
2026-05-23 15:17,tolokers,10,70.26±1.41(73.01),35.29±1.64(37.23)
2026-05-30 09:46,Amazon,10,81.37±4.37(86.74),58.98±12.00(73.21)
2026-05-25 13:04,ACM,10,60.54±3.00(66.43),24.10±3.17(29.80)
2026-05-25 10:29,Flickr,10,74.58±5.68(82.71),45.21±4.40(51.22)
2026-05-25 10:58,BlogCatalog,10,73.56±2.60(77.49),47.12±2.24(51.97)
2026-05-23 15:15,YelpChi,10,71.39±4.99(77.92),16.59±4.54(23.94)
2026-05-30 09:53,Reddit,10,62.87±2.77(68.61),5.18±0.52(6.22)
2026-05-25 15:30,weibo,10,92.09±3.62(96.79),88.50±3.35(93.24)
2026-05-30 09:54,questions,10,59.82±2.91(64.19),7.06±1.90(9.59)
2026-05-13 16:47,elliptic,10,90.5±1.09(91.8),nan
2026-05-13 08:27,cs,10,94.4±0.94(95.5),nan
2026-05-13 08:28,photo,10,91.21±7.46(96.81),nan
